Id,Name,Team,Position,Height(inches),Weight(lbs)
78,Erick Aybar,ANA,Shortstop,70,170
79,Dallas McPherson,ANA,Third Baseman,76,230
80,Maicer Izturis,ANA,Third Baseman,68,155
81,Reggie Willits,ANA,Outfielder,71,185
82,Tommy Murphy,ANA,Outfielder,72,185
83,Terry Evans,ANA,Outfielder,75,200
84,Gary Matthews Jr.,ANA,Outfielder,75,225
85,Garret Anderson,ANA,Outfielder,75,225
86,Vladimir Guerrero,ANA,Outfielder,75,220
87,Chone Figgins,ANA,Outfielder,68,160
88,Juan Rivera,ANA,Outfielder,74,205
89,John Lackey,ANA,Starting Pitcher,78,235
90,Bartolo Colon,ANA,Starting Pitcher,71,250
91,Kelvim Escobar,ANA,Starting Pitcher,73,210
92,Dustin Moseley,ANA,Starting Pitcher,76,190
93,Ervin Santana,ANA,Starting Pitcher,74,160
94,Joe Saunders,ANA,Starting Pitcher,74,200
95,Jered Weaver,ANA,Starting Pitcher,79,205
96,Chris Resop,ANA,Relief Pitcher,75,222
97,Phil Seibel,ANA,Relief Pitcher,73,195
98,Justin Speier,ANA,Relief Pitcher,76,205
99,Darren Oliver,ANA,Relief Pitcher,74,220
100,Hector Carrasco,ANA,Relief Pitcher,74,220
101,Scot Shields,ANA,Relief Pitcher,73,170
102,Francisco Rodriguez,ANA,Relief Pitcher,72,185
103,Greg Jones,ANA,Relief Pitcher,74,195
104,Doug Mirabelli,BOS,Catcher,73,220
105,Jason Varitek,BOS,Catcher,74,230
106,George Kottaras,BOS,Catcher,72,180
107,Kevin Youkilis,BOS,First Baseman,73,220
108,Dustin Pedroia,BOS,Second Baseman,69,180
109,Alex Cora,BOS,Shortstop,72,180
110,Julio Lugo,BOS,Shortstop,73,170
111,Mike Lowell,BOS,Third Baseman,75,210
112,Wily Mo Pe?a,BOS,Outfielder,75,215
113,J.D. Drew,BOS,Outfielder,73,200
114,Manny Ramirez,BOS,Outfielder,72,213
115,Brandon Moss,BOS,Outfielder,72,180
116,David Murphy,BOS,Outfielder,76,192
117,Eric Hinske,BOS,Outfielder,74,235
118,Coco Crisp,BOS,Outfielder,72,185
119,David Ortiz,BOS,Designated Hitter,76,230
120,Curt Schilling,BOS,Starting Pitcher,77,235
121,Tim Wakefield,BOS,Starting Pitcher,74,210
122,Josh Beckett,BOS,Starting Pitcher,77,222
123,Matt Clement,BOS,Starting Pitcher,75,210
124,Jonathan Papelbon,BOS,Starting Pitcher,76,230
125,Kyle Snyder,BOS,Starting Pitcher,80,220
126,Devern Hansack,BOS,Starting Pitcher,74,180
127,Jon Lester,BOS,Starting Pitcher,74,190
128,Kason Gabbard,BOS,Starting Pitcher,75,200
129,Craig Hansen,BOS,Relief Pitcher,78,210
130,Hideki Okajima,BOS,Relief Pitcher,73,194
131,Craig Breslow,BOS,Relief Pitcher,73,180
132,Manny Delcarmen,BOS,Relief Pitcher,74,190
133,Brendan Donnelly,BOS,Relief Pitcher,75,240
134,Javier Lopez,BOS,Relief Pitcher,76,200
135,J.C. Romero,BOS,Relief Pitcher,71,198
136,Joel Pineiro,BOS,Relief Pitcher,73,200
137,Julian Tavarez,BOS,Relief Pitcher,74,195
138,Mike Timlin,BOS,Relief Pitcher,76,210
139,Nick DeBarr,BOS,Relief Pitcher,76,220
140,Victor Martinez,CLE,Catcher,74,190
141,Kelly Shoppach,CLE,Catcher,73,210
142,Ryan Garko,CLE,First Baseman,74,225
143,Joe Inglett,CLE,Second Baseman,70,180
144,Josh Barfield,CLE,Second Baseman,72,185
145,Hector Luna,CLE,Second Baseman,73,170
146,Jhonny Peralta,CLE,Shortstop,73,185
147,Andy Marte,CLE,Third Baseman,73,185
148,Ben Francisco,CLE,Outfielder,73,180
149,Shin-Soo Choo,CLE,Outfielder,71,178
150,Franklin Gutierrez,CLE,Outfielder,74,175
151,Grady Sizemore,CLE,Outfielder,74,200
152,Jason Michaels,CLE,Outfielder,72,204
153,Trot Nixon,CLE,Outfielder,74,211
154,David Dellucci,CLE,Outfielder,71,190
155,Casey Blake,CLE,Outfielder,74,210
156,Travis Hafner,CLE,Designated Hitter,75,240
157,Paul Byrd,CLE,Starting Pitcher,73,190
158,Cliff Lee,CLE,Starting Pitcher,75,190
159,Jake Westbrook,CLE,Starting Pitcher,75,185
160,C.C. Sabathia,CLE,Starting Pitcher,79,290
161,Jeremy Sowers,CLE,Starting Pitcher,73,175
162,Rafael Perez,CLE,Relief Pitcher,75,185
163,Brian Slocum,CLE,Relief Pitcher,76,200
164,Edward Mujica,CLE,Relief Pitcher,74,220
165,Fernando Cabrera,CLE,Relief Pitcher,76,170
166,Tom Mastny,CLE,Relief Pitcher,78,220
167,Juan Lara,CLE,Relief Pitcher,74,190
168,Fausto Carmona,CLE,Relief Pitcher,76,220
169,Aaron Fultz,CLE,Relief Pitcher,72,205
170,Rafael Betancourt,CLE,Relief Pitcher,74,200
171,Roberto Hernandez,CLE,Relief Pitcher,76,250
172,Joe Borowski,CLE,Relief Pitcher,74,225
173,Matt Miller,CLE,Relief Pitcher,75,215
174,Jason Davis,CLE,Relief Pitcher,78,210
175,Mike Piazza,OAK,Catcher,75,215
176,Jason Kendall,OAK,Catcher,72,195
177,Adam Melhuse,OAK,Catcher,74,200
178,Nick Swisher,OAK,First Baseman,72,194
179,Dan Johnson,OAK,First Baseman,74,220
180,Donald Murphy,OAK,Second Baseman,70,180
181,Mark Ellis,OAK,Second Baseman,71,180
182,Marco Scutaro,OAK,Shortstop,70,170
183,Bobby Crosby,OAK,Shortstop,75,195
184,Mark Kiger,OAK,Shortstop,71,180
185,Antonio Perez,OAK,Third Baseman,71,170
186,Eric Chavez,OAK,Third Baseman,73,206
187,Milton Bradley,OAK,Outfielder,72,205
188,Shannon Stewart,OAK,Outfielder,71,200
189,Bobby Kielty,OAK,Outfielder,73,225
190,Mark Kotsay,OAK,Outfielder,72,201
191,Ryan Goleski,OAK,Outfielder,75,225
192,Jeremy Brown,OAK,Designated Hitter,70,226
193,Jason Windsor,OAK,Starting Pitcher,74,233
194,David Shafer,OAK,Starting Pitcher,74,180
195,Joe Blanton,OAK,Starting Pitcher,75,225
196,Brad Halsey,OAK,Starting Pitcher,73,180
197,Dan Haren,OAK,Starting Pitcher,77,220
198,Rich Harden,OAK,Starting Pitcher,73,180
199,Joe Kennedy,OAK,Starting Pitcher,76,237
200,Esteban Loaiza,OAK,Starting Pitcher,75,215
201,Alan Embree,OAK,Relief Pitcher,74,190
202,Jay Witasick,OAK,Relief Pitcher,76,235
203,Justin Duchscherer,OAK,Relief Pitcher,75,190
204,Kiko Calero,OAK,Relief Pitcher,73,180
205,Chad Gaudin,OAK,Relief Pitcher,71,165
206,Lenny DiNardo,OAK,Relief Pitcher,76,195
207,Scott Dunn,OAK,Relief Pitcher,75,200
208,Huston Street,OAK,Relief Pitcher,72,190
209,Ron Flores,OAK,Relief Pitcher,71,190
210,Jay Marshall,OAK,Relief Pitcher,77,185
211,Marcus McBeth,OAK,Relief Pitcher,73,185
212,Jorge Posada,NYY,Catcher,74,205
213,Wil Nieves,NYY,Catcher,71,190
214,Andy Phillips,NYY,First Baseman,72,205
215,Doug Mientkiewicz,NYY,First Baseman,74,206
216,Josh Phelps,NYY,First Baseman,75,220
217,Miguel Cairo,NYY,Second Baseman,73,208
218,Robinson Cano,NYY,Second Baseman,72,170
219,Derek Jeter,NYY,Shortstop,75,195
220,Alex Rodriguez,NYY,Third Baseman,75,210
221,Johnny Damon,NYY,Outfielder,74,190
222,Bobby Abreu,NYY,Outfielder,72,211
223,Hideki Matsui,NYY,Outfielder,74,230
224,Melky Cabrera,NYY,Outfielder,71,170
225,Kevin Thompson,NYY,Outfielder,70,185
226,Jason Giambi,NYY,Designated Hitter,75,230
227,Mike Mussina,NYY,Starting Pitcher,74,185
228,Carl Pavano,NYY,Starting Pitcher,77,241
229,Andy Pettitte,NYY,Starting Pitcher,77,225
230,Darrell Rasner,NYY,Starting Pitcher,75,210
231,Jeff Karstens,NYY,Starting Pitcher,75,175
232,Humberto Sanchez,NYY,Starting Pitcher,78,230
233,Chien-Ming Wang,NYY,Starting Pitcher,75,200
234,Sean Henn,NYY,Relief Pitcher,76,215
235,Scott Proctor,NYY,Relief Pitcher,73,198
236,Brian Bruney,NYY,Relief Pitcher,75,226
237,Chris Britton,NYY,Relief Pitcher,75,278
238,T.J. Beam,NYY,Relief Pitcher,79,215
239,Jose Veras,NYY,Relief Pitcher,77,230
240,Kyle Farnsworth,NYY,Relief Pitcher,76,240
241,Luis Vizcaino,NYY,Relief Pitcher,71,184
242,Mike Myers,NYY,Relief Pitcher,75,219
243,Mariano Rivera,NYY,Relief Pitcher,74,170
244,Ivan Rodriguez,DET,Catcher,69,218
245,Vance Wilson,DET,Catcher,71,190
246,Sean Casey,DET,First Baseman,76,225
247,Chris Shelton,DET,First Baseman,72,220
248,Omar Infante,DET,Second Baseman,72,176
249,Placido Polanco,DET,Second Baseman,70,190
250,Neifi Perez,DET,Second Baseman,72,197
251,Carlos Guillen,DET,Shortstop,73,204
252,Ramon Santiago,DET,Shortstop,71,167
253,Tony Giarratano,DET,Shortstop,72,180
254,Brandon Inge,DET,Third Baseman,71,195
255,Craig Monroe,DET,Outfielder,73,220
256,Magglio Ordo?ez,DET,Outfielder,72,215
257,Curtis Granderson,DET,Outfielder,73,185
258,Brent Clevlen,DET,Outfielder,74,190
259,Marcus Thames,DET,Outfielder,74,205
260,Gary Sheffield,DET,Outfielder,72,205
261,Mike Rabelo,DET,Designated Hitter,73,200
262,Zach Miner,DET,Starting Pitcher,75,200
263,Jeremy Bonderman,DET,Starting Pitcher,74,210
264,Nate Robertson,DET,Starting Pitcher,74,215
265,Justin Verlander,DET,Starting Pitcher,77,200
266,Virgil Vasquez,DET,Starting Pitcher,75,205
267,Kenny Rogers,DET,Starting Pitcher,73,211
268,Mike Maroth,DET,Starting Pitcher,72,190
269,Fernando Rodney,DET,Relief Pitcher,71,208
270,Chad Durbin,DET,Relief Pitcher,74,200
271,Jason Grilli,DET,Relief Pitcher,77,210
272,Jose Mesa,DET,Relief Pitcher,75,232
273,Todd Jones,DET,Relief Pitcher,75,230
274,Joel Zumaya,DET,Relief Pitcher,75,210
275,Jordan Tata,DET,Relief Pitcher,78,220
276,Andrew Miller,DET,Relief Pitcher,78,210
277,Yorman Bazardo,DET,Relief Pitcher,74,202
278,Wilfredo Ledezma,DET,Relief Pitcher,76,212
279,Roman Colon,DET,Relief Pitcher,78,225
280,Edward Campusano,DET,Relief Pitcher,76,170
281,Rene Rivera,SEA,Catcher,70,190
282,Kenji Johjima,SEA,Catcher,72,200
283,Richie Sexson,SEA,First Baseman,80,237
284,Ben Broussard,SEA,First Baseman,74,220
285,Jose Lopez,SEA,Second Baseman,74,170
286,Jose Vidro,SEA,Second Baseman,71,193
287,Yuniesky Betancourt,SEA,Shortstop,70,190
288,Oswaldo Navarro,SEA,Shortstop,72,150
289,Adrian Beltre,SEA,Third Baseman,71,220
290,Raul Ibanez,SEA,Outfielder,74,200
291,Jose Guillen,SEA,Outfielder,71,190
292,Jeremy Reed,SEA,Outfielder,72,185
293,Willie Bloomquist,SEA,Outfielder,71,185
294,Adam Jones,SEA,Outfielder,74,200
295,Ichiro Suzuki,SEA,Outfielder,69,172
296,Mike Morse,SEA,Outfielder,76,220
297,Felix Hernandez,SEA,Starting Pitcher,75,225
298,Ryan Feierabend,SEA,Starting Pitcher,75,190
299,Sean White,SEA,Starting Pitcher,76,195
300,Horacio Ramirez,SEA,Starting Pitcher,73,219
301,Cha Baek,SEA,Starting Pitcher,76,190
302,Miguel Batista,SEA,Starting Pitcher,73,197
303,Jeff Weaver,SEA,Starting Pitcher,77,200
304,Jarrod Washburn,SEA,Starting Pitcher,73,195
305,George Sherrill,SEA,Relief Pitcher,72,210
306,Julio Mateo,SEA,Relief Pitcher,72,177
307,J.J. Putz,SEA,Relief Pitcher,77,220
308,Chris Reitsma,SEA,Relief Pitcher,77,235
309,Cesar Jimenez,SEA,Relief Pitcher,71,180
310,Eric O'Flaherty,SEA,Relief Pitcher,74,195
311,Jon Huber,SEA,Relief Pitcher,74,195
312,Jake Woods,SEA,Relief Pitcher,73,190
313,Sean Green,SEA,Relief Pitcher,78,230
314,Mark Lowe,SEA,Relief Pitcher,75,190
315,Josh Paul,TB,Catcher,73,200
316,Dioner Navarro,TB,Catcher,70,190
317,Shawn Riggans,TB,Catcher,74,190
318,Ty Wigginton,TB,First Baseman,72,200
319,Brendan Harris,TB,Second Baseman,73,200
320,Jorge Cantu,TB,Second Baseman,73,184
321,Ben Zobrist,TB,Shortstop,75,200
322,B.J. Upton,TB,Third Baseman,75,180
323,Carl Crawford,TB,Outfielder,74,219
324,Rocco Baldelli,TB,Outfielder,76,187
325,Greg Norton,TB,Outfielder,73,200
326,Elijah Dukes,TB,Outfielder,74,220
327,Delmon Young,TB,Outfielder,75,205
328,Jonny Gomes,TB,Designated Hitter,73,205
329,Edwin Jackson,TB,Starting Pitcher,75,190
330,Scott Kazmir,TB,Starting Pitcher,72,170
331,Casey Fossum,TB,Starting Pitcher,73,160
332,Jae Seo,TB,Starting Pitcher,73,215
333,J.P. Howell,TB,Starting Pitcher,72,175
334,Tim Corcoran,TB,Starting Pitcher,74,205
335,Jason Hammel,TB,Starting Pitcher,78,200
336,James Shields,TB,Starting Pitcher,76,214
337,Brian Stokes,TB,Starting Pitcher,73,200
338,Juan Salas,TB,Relief Pitcher,74,190
339,Jeff Ridgway,TB,Relief Pitcher,75,180
340,Ruddy Lugo,TB,Relief Pitcher,70,205
341,Jae-Kuk Ryu,TB,Relief Pitcher,75,220
342,Chad Orvella,TB,Relief Pitcher,71,190
343,Dan Miceli,TB,Relief Pitcher,72,215
344,Seth McClung,TB,Relief Pitcher,78,235
345,Jon Switzer,TB,Relief Pitcher,75,191
346,Shawn Camp,TB,Relief Pitcher,73,200
347,Scott Dohmann,TB,Relief Pitcher,73,181
348,Jason LaRue,KC,Catcher,71,200
349,John Buck,KC,Catcher,75,210
350,Ryan Shealy,KC,First Baseman,77,240
351,Ross Gload,KC,First Baseman,72,185
352,Esteban German,KC,Second Baseman,69,165
353,Mark Grudzielanek,KC,Second Baseman,73,190
354,Angel Sanchez,KC,Second Baseman,74,185
355,Angel Berroa,KC,Shortstop,72,175
356,Andres Blanco,KC,Shortstop,70,155
357,Mark Teahen,KC,Third Baseman,75,210
358,Joey Gathright,KC,Outfielder,70,170
359,David DeJesus,KC,Outfielder,72,175
360,Shane Costa,KC,Outfielder,72,220
361,Mitch Maier,KC,Outfielder,74,210
362,Reggie Sanders,KC,Outfielder,73,205
363,Emil Brown,KC,Outfielder,74,200
364,Mike Sweeney,KC,Designated Hitter,75,225
365,John Bale,KC,Starting Pitcher,76,205
366,Luke Hudson,KC,Starting Pitcher,75,195
367,Scott Elarton,KC,Starting Pitcher,80,240
368,Odalis Perez,KC,Starting Pitcher,72,150
369,Gil Meche,KC,Starting Pitcher,75,200
370,Neal Musser,KC,Starting Pitcher,73,215
371,Brian Bannister,KC,Starting Pitcher,74,202
372,Zack Greinke,KC,Starting Pitcher,74,200
373,Jorge De La Rosa,KC,Starting Pitcher,73,190
374,Todd Wellemeyer,KC,Relief Pitcher,75,205
375,Jimmy Gobble,KC,Relief Pitcher,75,190
376,Joel Peralta,KC,Relief Pitcher,71,160
377,Ryan Braun,KC,Relief Pitcher,73,215
378,Joakim Soria,KC,Relief Pitcher,75,185
379,Ken Ray,KC,Relief Pitcher,74,200
380,David Riske,KC,Relief Pitcher,74,190
381,Octavio Dotel,KC,Relief Pitcher,72,210
382,Joe Nelson,KC,Relief Pitcher,74,185
383,Gerald Laird,TEX,Catcher,74,220
384,Miguel Ojeda,TEX,Catcher,74,190
385,Guillermo Quiroz,TEX,Catcher,73,202
386,Chris Stewart,TEX,Catcher,76,205
387,Mark Teixeira,TEX,First Baseman,75,220
388,Ian Kinsler,TEX,Second Baseman,72,175
389,Joaquin Arias,TEX,Shortstop,73,160
390,Michael Young,TEX,Shortstop,73,190
391,Hank Blalock,TEX,Third Baseman,73,200
392,Marlon Byrd,TEX,Outfielder,72,229
393,Brad Wilkerson,TEX,Outfielder,72,206
394,Sammy Sosa,TEX,Outfielder,72,220
395,Kenny Lofton,TEX,Outfielder,72,180
396,Frank Catalanotto,TEX,Outfielder,71,195
397,Nelson Cruz,TEX,Outfielder,75,175
398,Jason Botts,TEX,Designated Hitter,77,250
399,Robinson Tejeda,TEX,Starting Pitcher,75,188
400,John Rheinecker,TEX,Starting Pitcher,74,230
401,Edinson Volquez,TEX,Starting Pitcher,73,190
402,A.J. Murray,TEX,Starting Pitcher,75,200
403,Brandon McCarthy,TEX,Starting Pitcher,79,190
404,Vicente Padilla,TEX,Starting Pitcher,74,219
405,Kevin Millwood,TEX,Starting Pitcher,76,235
406,John Koronka,TEX,Starting Pitcher,73,180
407,Frank Francisco,TEX,Relief Pitcher,74,180
408,Francisco Cruceta,TEX,Relief Pitcher,74,180
409,Akinori Otsuka,TEX,Relief Pitcher,72,200
410,Eric Gagne,TEX,Relief Pitcher,74,234
411,Ron Mahay,TEX,Relief Pitcher,74,185
412,Joaquin Benoit,TEX,Relief Pitcher,75,220
413,Rick Bauer,TEX,Relief Pitcher,78,223
414,Josh Rupe,TEX,Relief Pitcher,74,200
415,Wes Littleton,TEX,Relief Pitcher,74,210
416,C.J. Wilson,TEX,Relief Pitcher,74,200
417,Scott Feldman,TEX,Relief Pitcher,77,210
418,Gregg Zaun,TOR,Catcher,70,190
419,Jason Phillips,TOR,Catcher,73,177
420,Lyle Overbay,TOR,First Baseman,74,227
421,Russ Adams,TOR,Second Baseman,73,180
422,Aaron Hill,TOR,Second Baseman,71,195
423,Jason Smith,TOR,Second Baseman,75,199
424,John McDonald,TOR,Shortstop,71,175
425,Royce Clayton,TOR,Shortstop,72,185
426,Troy Glaus,TOR,Third Baseman,77,240
427,John Hattig,TOR,Third Baseman,74,210
428,Reed Johnson,TOR,Outfielder,70,180
429,Alex Rios,TOR,Outfielder,77,194
430,Vernon Wells,TOR,Outfielder,73,225
431,Frank Thomas,TOR,Designated Hitter,77,275
432,Adam Lind,TOR,Designated Hitter,74,195
433,Shaun Marcum,TOR,Starting Pitcher,72,180
434,Casey Janssen,TOR,Starting Pitcher,76,205
435,Gustavo Chacin,TOR,Starting Pitcher,71,193
436,A.J. Burnett,TOR,Starting Pitcher,76,230
437,Roy Halladay,TOR,Starting Pitcher,78,230
438,John Thomson,TOR,Starting Pitcher,75,220
439,Tomo Ohka,TOR,Starting Pitcher,73,200
440,B.J. Ryan,TOR,Relief Pitcher,78,249
441,Scott Downs,TOR,Relief Pitcher,74,190
442,Brian Tallet,TOR,Relief Pitcher,79,208
443,Matt Roney,TOR,Relief Pitcher,75,245
444,Tracy Thorpe,TOR,Relief Pitcher,76,250
445,Jean Machi,TOR,Relief Pitcher,72,160
446,Brandon League,TOR,Relief Pitcher,75,192
447,Dustin McGowan,TOR,Relief Pitcher,75,220
448,Jason Frasor,TOR,Relief Pitcher,70,170
449,Francisco Rosario,TOR,Relief Pitcher,72,197
450,Davis Romero,TOR,Relief Pitcher,70,155
451,Jeremy Accardo,TOR,Relief Pitcher,74,190
452,Mike Redmond,MIN,Catcher,71,200
453,Joe Mauer,MIN,Catcher,76,220
454,Chris Heintz,MIN,Catcher,73,210
455,Justin Morneau,MIN,First Baseman,76,228
456,Luis Castillo,MIN,Second Baseman,71,190
457,Alexi Casilla,MIN,Second Baseman,69,160
458,Alejandro Machado,MIN,Second Baseman,72,184
459,Jason Bartlett,MIN,Shortstop,72,180
460,Luis Rodriguez,MIN,Third Baseman,69,180
461,Jeff Cirillo,MIN,Third Baseman,73,200
462,Nick Punto,MIN,Third Baseman,69,176
463,Jason Tyner,MIN,Outfielder,73,160
464,Michael Cuddyer,MIN,Outfielder,74,222
465,Torii Hunter,MIN,Outfielder,74,211
466,Lew Ford,MIN,Outfielder,72,195
467,Jason Kubel,MIN,Outfielder,71,200
468,Josh Rabe,MIN,Designated Hitter,74,210
469,Rondell White,MIN,Designated Hitter,73,225
470,Ramon Ortiz,MIN,Starting Pitcher,72,175
471,Johan Santana,MIN,Starting Pitcher,72,206
472,Carlos Silva,MIN,Starting Pitcher,76,240
473,Matt Garza,MIN,Starting Pitcher,76,185
474,Boof Bonser,MIN,Starting Pitcher,76,260
475,Francisco Liriano,MIN,Starting Pitcher,74,185
476,Scott Baker,MIN,Starting Pitcher,76,221
477,Pat Neshek,MIN,Relief Pitcher,75,205
478,Glen Perkins,MIN,Relief Pitcher,71,200
479,Julio DePaula,MIN,Relief Pitcher,72,170
480,Juan Rincon,MIN,Relief Pitcher,71,201
481,Jesse Crain,MIN,Relief Pitcher,73,205
482,Matt Guerrier,MIN,Relief Pitcher,75,185
483,Joe Nathan,MIN,Relief Pitcher,76,205
484,Dennys Reyes,MIN,Relief Pitcher,75,245
485,Brayan Pe?a,ATL,Catcher,71,220
486,Brian McCann,ATL,Catcher,75,210
487,Craig Wilson,ATL,First Baseman,74,220
488,Chris Woodward,ATL,Second Baseman,72,185
489,Pete Orr,ATL,Second Baseman,73,175
490,Martin Prado,ATL,Second Baseman,73,170
491,Tony Pe?a,ATL,Shortstop,73,180
492,Edgar Renteria,ATL,Shortstop,73,200
493,Chipper Jones,ATL,Third Baseman,76,210
494,Willy Aybar,ATL,Third Baseman,72,175
495,Jeff Francoeur,ATL,Outfielder,76,220
496,Matt Diaz,ATL,Outfielder,73,206
497,Kelly Johnson,ATL,Outfielder,73,180
498,Andruw Jones,ATL,Outfielder,73,210
499,Ryan Langerhans,ATL,Outfielder,75,195
500,Scott Thorman,ATL,Outfielder,75,200
501,T.J. Bohn,ATL,Outfielder,77,200
502,Tim Hudson,ATL,Starting Pitcher,73,164
503,Jonathan Johnson,ATL,Starting Pitcher,72,180
504,John Smoltz,ATL,Starting Pitcher,75,220
505,Mike Hampton,ATL,Starting Pitcher,70,195
506,Kyle Davies,ATL,Starting Pitcher,74,205
507,Chuck James,ATL,Starting Pitcher,72,170
508,Phil Stockman,ATL,Relief Pitcher,80,240
509,Macay McBride,ATL,Relief Pitcher,71,210
510,Joey Devine,ATL,Relief Pitcher,71,195
511,Peter Moylan,ATL,Relief Pitcher,74,200
512,Mike Gonzalez,ATL,Relief Pitcher,74,205
513,Lance Cormier,ATL,Relief Pitcher,73,192
514,Blaine Boyer,ATL,Relief Pitcher,75,190
515,Manny Acosta,ATL,Relief Pitcher,76,170
516,Bob Wickman,ATL,Relief Pitcher,73,240
517,Tanyon Sturtze,ATL,Relief Pitcher,77,200
518,Oscar Villarreal,ATL,Relief Pitcher,72,205
519,Rafael Soriano,ATL,Relief Pitcher,73,175
520,Chad Paronto,ATL,Relief Pitcher,77,250
521,Tyler Yates,ATL,Relief Pitcher,76,220
522,Henry Blanco,CHC,Catcher,71,224
523,Michael Barrett,CHC,Catcher,75,210
524,Geovany Soto,CHC,Catcher,73,195
525,Scott Moore,CHC,First Baseman,74,180
526,Derrek Lee,CHC,First Baseman,77,245
527,Ryan Theriot,CHC,Second Baseman,71,175
528,Ronny Cedeno,CHC,Shortstop,72,180
529,Aramis Ramirez,CHC,Third Baseman,73,215
530,Cesar Izturis,CHC,Third Baseman,69,175
531,Alfonso Soriano,CHC,Outfielder,73,180
532,Jacque Jones,CHC,Outfielder,70,195
533,Daryle Ward,CHC,Outfielder,74,230
534,Cliff Floyd,CHC,Outfielder,76,230
535,Mark DeRosa,CHC,Outfielder,73,205
536,Matt Murton,CHC,Outfielder,73,215
537,Buck Coats,CHC,Outfielder,75,195
538,Angel Pagan,CHC,Outfielder,73,180
539,Sean Marshall,CHC,Starting Pitcher,79,205
540,Carlos Marmol,CHC,Starting Pitcher,74,180
